subject,n_frames,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
M1,7703,0.09527846293651825,0.06422952096585746,0.6959678047513956,0.04224587822926133,1.619504089315851,2.3228949759833832,0.05261326755809424,2.685155134363235,0.24516162534077632,0.627745034402181,0.2145320005192782,0.8155822406854473,0.10269894846163832,0.0806439049720888,1.2900272621056732,0.846124886407893,0.13808386342983253
M2,7800,0.11361153846153847,0.07770641025641026,1.5990846153846154,0.04433205128205128,0.3073628205128205,1.227776923076923,0.10335000000000001,1.342276923076923,0.3268153846153846,0.6452141025641026,0.1623769230769231,0.6822358974358975,0.15733846153846154,0.12256538461538462,0.34373205128205125,0.6198717948717949,0.13398076923076924
F1,7774,0.27491638795986617,0.10562258811422691,0.6118780550553126,0.05418960638024183,1.895962181631078,3.3382904553640342,0.051297916130692046,1.9401402109596089,0.5952405454077695,0.6268150244404426,0.29986107537947,0.5229109853357345,0.16505273990223823,0.1645948031901209,0.6688538718806277,0.48978518137381016,0.2664985850270131
F2,7748,0.08179013939081053,0.05288719669592154,2.0101535880227153,0.05575761486835312,2.4142694889003615,1.3763835828600928,0.03987609705730512,2.2875090345895717,1.2154788332472894,0.8627762003097574,0.20150103252452245,0.532374806401652,0.07335570469798657,0.06546979865771813,0.3117178626742385,0.4118611254517295,0.13597573567372226
