subject,emotion,n_frames,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
M1,悲伤,16636,0.08299591247896129,0.05260759798028373,0.9720431594133206,0.041210026448665546,1.2385164703053617,1.7336180572252946,0.044645347439288295,2.444508295263285,0.09843772541476317,0.6328805001202212,0.11146850204376052,0.44039492666506375,0.15195299350805483,0.22725354652560714,1.413357778312094,0.8357231305602307,0.1407622024525126
M1,积极,7703,0.09527846293651825,0.06422952096585746,0.6959678047513956,0.04224587822926133,1.619504089315851,2.3228949759833832,0.05261326755809424,2.685155134363235,0.24516162534077632,0.627745034402181,0.2145320005192782,0.8155822406854473,0.10269894846163832,0.0806439049720888,1.2900272621056732,0.846124886407893,0.13808386342983253
M1,中性,1562,0.09968629961587709,0.05298975672215109,0.5837708066581306,0.04133802816901408,1.505134443021767,2.2024327784891167,0.03197823303457106,2.743508322663252,0.3596350832266325,0.2855121638924456,0.11791293213828424,0.5519462227912932,0.12310499359795135,0.2745710627400768,0.5474263764404609,0.3624647887323944,0.14505121638924456
M2,悲伤,20520,0.18340350877192982,0.12301218323586745,1.3604668615984405,0.05759746588693958,0.3995165692007797,1.0923815789473683,0.09919883040935672,1.5914195906432747,0.32117933723196884,0.463187134502924,0.32504239766081877,0.9652480506822612,0.18109649122807017,0.21932504873294348,0.5363323586744639,0.8595263157894737,0.1901120857699805
M2,积极,7800,0.11361153846153847,0.07770641025641026,1.5990846153846154,0.04433205128205128,0.3073628205128205,1.227776923076923,0.10335000000000001,1.342276923076923,0.3268153846153846,0.6452141025641026,0.1623769230769231,0.6822358974358975,0.15733846153846154,0.12256538461538462,0.34373205128205125,0.6198717948717949,0.13398076923076924
M2,中性,4401,0.14379459213815043,0.12647580095432856,1.094151329243354,0.060277209725062494,0.4759418314019542,1.1250965689615995,0.08196546239491025,1.8324698932060897,0.38977959554646674,0.4229538741195183,0.5426834810270393,0.8136309929561463,0.36977505112474435,0.21174051351965462,0.6444285389684163,0.7474255850942968,0.28174505794137694
F1,悲伤,20334,0.2081533392347792,0.10008016130618667,0.6436810268515787,0.06980574407396478,1.8750373758237433,3.3591339628208905,0.061910101308153824,1.7800875381135046,0.5449144290351134,1.0554131012097963,0.17670846857480085,0.45513179895741124,0.12920232123536932,0.1685974230353103,0.5365983082521883,0.4677899085275893,0.24292957607947277
F1,积极,3831,0.2022265726964239,0.1698381623596972,0.25476115896632734,0.079997389715479,1.4167267032106499,2.6891542678151916,0.05372226572696424,0.8510154006786739,0.21360219263899766,0.6618533020099192,0.14673975463325506,0.4166744975202297,0.12205690420255809,0.16280866614460976,0.23719394413991124,0.30895327590707383,0.28504829026363876
F1,中性,7774,0.27491638795986617,0.10562258811422691,0.6118780550553126,0.05418960638024183,1.895962181631078,3.3382904553640342,0.051297916130692046,1.9401402109596089,0.5952405454077695,0.6268150244404426,0.29986107537947,0.5229109853357345,0.16505273990223823,0.1645948031901209,0.6688538718806277,0.48978518137381016,0.2664985850270131
F2,悲伤,20348,0.1332681344603892,0.07451592294082957,1.8600668370355808,0.06912227245920975,2.235767151562807,1.107391881265972,0.1244490859052487,2.176790839394535,1.0960335168075488,0.9276076272852368,0.1356315116964812,0.39993709455474735,0.11155396107725575,0.16703656379005308,0.3591910752899548,0.7509873206211913,0.1332691173579713
F2,积极,4007,0.1348440229598203,0.07894933865734964,1.3868729722984778,0.05262290990766159,2.3395358123284256,1.065547791365111,0.04107062640379336,2.2869278762166214,1.4993161966558524,1.0697179935113552,0.15036935363114548,0.40338158223109555,0.0883254304966309,0.04729473421512354,0.2943598702271026,0.6342101322685301,0.16257050162216122
F2,中性,7748,0.08179013939081053,0.05288719669592154,2.0101535880227153,0.05575761486835312,2.4142694889003615,1.3763835828600928,0.03987609705730512,2.2875090345895717,1.2154788332472894,0.8627762003097574,0.20150103252452245,0.532374806401652,0.07335570469798657,0.06546979865771813,0.3117178626742385,0.4118611254517295,0.13597573567372226
