subject,n_frames,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
M1,16636,0.08299591247896129,0.05260759798028373,0.9720431594133206,0.041210026448665546,1.2385164703053617,1.7336180572252946,0.044645347439288295,2.444508295263285,0.09843772541476317,0.6328805001202212,0.11146850204376052,0.44039492666506375,0.15195299350805483,0.22725354652560714,1.413357778312094,0.8357231305602307,0.1407622024525126
M2,20520,0.18340350877192982,0.12301218323586745,1.3604668615984405,0.05759746588693958,0.3995165692007797,1.0923815789473683,0.09919883040935672,1.5914195906432747,0.32117933723196884,0.463187134502924,0.32504239766081877,0.9652480506822612,0.18109649122807017,0.21932504873294348,0.5363323586744639,0.8595263157894737,0.1901120857699805
F1,20334,0.2081533392347792,0.10008016130618667,0.6436810268515787,0.06980574407396478,1.8750373758237433,3.3591339628208905,0.061910101308153824,1.7800875381135046,0.5449144290351134,1.0554131012097963,0.17670846857480085,0.45513179895741124,0.12920232123536932,0.1685974230353103,0.5365983082521883,0.4677899085275893,0.24292957607947277
F2,20348,0.1332681344603892,0.07451592294082957,1.8600668370355808,0.06912227245920975,2.235767151562807,1.107391881265972,0.1244490859052487,2.176790839394535,1.0960335168075488,0.9276076272852368,0.1356315116964812,0.39993709455474735,0.11155396107725575,0.16703656379005308,0.3591910752899548,0.7509873206211913,0.1332691173579713
