,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,0.0,0.2,28.02,0.0,36.14,75.59,11.02,38.56,8.27,52.9,28.65,49.79,22.03,36.07,0.3,4.2,3.41,5.95,2.06,47.36,0.03,45.34,91.21,0.62,52.5,9.59,61.69,0.45,10.52,0.88,0.78,4.9,7.75,10.48,0.03,0.36,43.26,3.16,47.05,90.78,0.45,52.59,7.04,57.85,2.83,19.48,0.06,2.19,5.8100000000000005,10.49,0.03,9.95,6.7,49.9,0.63,48.37,96.4,2.29,50.65,7.37,53.75,3.14,12.870000000000001,2.88,0.03,7.8100000000000005,17.55,10.86
11,10.27,2.77,27.23,2.12,38.06,77.33,0.35,40.91,8.12,62.93,32.4,36.6,21.3,30.72,8.120000000000001,0.6,12.709999999999999,1.9000000000000001,2.25,49.129999999999995,1.73,50.6,94.66,0.33,56.06,9.49,61.1,1.08,17.02,0.99,1.4000000000000001,3.4,7.17,1.4000000000000001,3.7800000000000002,1.09,47.99,0.35,47.2,92.68,0.66,53.38,8.15,57.64,3.92,21.22,0.82,2.22,5.12,11.61,5.75,11.26,6.66,47.5,0.09,47.35,94.16,2.71,51.62,6.33,53.8,1.17,12.95,3.64,0.12,8.86,13.8,9.34
12,11.53,1.53,35.61,0.0,52.32,94.76,5.12,51.13,18.42,56.38,1.22,0.24000000000000002,24.39,0.0,5.49,0.0,5.42,2.37,0.67,48.87,1.48,49.28,94.62,0.54,54.29,10.18,61.07,0.42,14.44,1.3699999999999999,0.75,4.0,6.7,3.24,0.18,0.71,47.71,1.17,47.14,93.63,0.03,50.79,5.74,57.2,4.62,19.03,0.38,1.55,5.38,8.26,2.93,11.56,6.95,49.72,0.09,46.97,97.0,2.34,52.53,6.74,52.14,1.59,12.01,4.4,0.0,11.11,17.24,8.92
13,1.79,0.33,39.87,0.0,54.86,81.27,7.5200000000000005,50.68,24.490000000000002,66.36,0.0,0.0,35.76,2.3,0.0,0.0,3.58,6.9,1.5499999999999998,47.160000000000004,0.18,47.38,91.86,1.34,54.32,7.69,61.91,1.26,12.35,2.28,0.03,4.11,7.19,6.94,0.0,0.39,44.82,4.67,45.63,87.92999999999999,0.0,50.78,6.41,59.15,4.55,14.75,0.3,0.22,1.97,9.95,0.9,4.8,6.18,45.31,0.78,46.42,94.41,1.9,53.63,6.9799999999999995,53.31,2.89,12.84,1.65,0.45,7.140000000000001,15.66,6.69
14,0.4,0.08,40.17,0.15,56.83,89.17,4.84,46.04,24.59,69.57,0.0,0.69,31.37,2.8,0.0,0.0,0.45,8.81,3.44,46.32,0.03,47.27,96.12,0.9400000000000001,53.85,9.72,57.75,1.44,11.84,2.6,0.26,3.98,10.95,7.68,0.2,0.35,44.7,5.09,45.21,89.43,0.19,48.99,7.54,58.99,3.94,17.04,0.26,0.54,3.04,11.31,1.24,9.75,8.22,45.42,0.30000000000000004,48.36,98.93,2.7800000000000002,53.410000000000004,8.59,51.68,1.3900000000000001,12.370000000000001,2.69,0.06,7.95,18.19,8.77
15,5.37,1.74,39.94,6.23,56.58,91.13,0.09,65.35,23.34,54.79,2.0300000000000002,14.34,6.5,0.0,0.85,2.96,5.0600000000000005,11.47,0.72,38.16,0.0,59.489999999999995,93.76,1.23,64.84,26.02,56.22,2.84,8.67,5.18,0.0,1.09,0.0,4.49,3.9,3.2800000000000002,37.5,1.1600000000000001,58.13,85.24,1.1600000000000001,60.85,25.07,52.66,4.09,12.5,0.8400000000000001,2.7,4.16,11.27,6.93,4.98,2.47,33.62,0.41000000000000003,61.73,85.61,1.47,66.7,22.49,47.79,0.6799999999999999,8.96,0.52,0.31,6.87,13.36,6.99
16,5.14,0.6900000000000001,38.61,2.66,53.35,90.27,0.12,58.93,17.05,47.56,3.8,8.69,5.5600000000000005,0.0,2.21,3.62,9.03,4.18,1.79,37.25,0.7,58.79,87.73,1.43,64.47,25.67,61.29,1.05,13.24,6.66,0.0,0.15000000000000002,0.64,3.64,1.2,0.75,37.14,1.32,61.31,82.17,0.7100000000000001,61.03,25.41,54.56,1.66,12.87,0.73,0.7000000000000001,4.45,4.72,1.57,4.29,1.11,35.58,1.67,60.29,83.03999999999999,0.99,64.5,22.47,48.85,2.1,9.71,0.78,1.42,8.62,13.44,6.29
17,4.48,1.22,35.339999999999996,0.73,48.14,86.92,0.12,53.11,15.42,49.62,5.12,10.75,5.03,0.0,0.58,0.18000000000000002,12.290000000000001,5.41,2.34,40.45,2.06,56.87,86.33,1.27,61.559999999999995,25.69,59.24,1.1,15.41,1.07,0.0,0.36,1.78,10.790000000000001,1.11,0.27,36.49,0.24,60.37,83.33,2.67,61.92,26.14,54.5,0.98,12.56,0.8400000000000001,1.36,5.76,8.15,2.1,5.65,2.58,35.82,0.0,59.5,84.95,1.46,60.57,21.06,48.38,1.98,12.71,0.5800000000000001,1.49,6.15,14.19,8.28
18,7.14,0.89,38.3,0.52,46.77,84.75,0.0,46.35,12.05,54.23,1.95,16.79,15.94,0.0,0.0,0.0,5.64,4.91,0.66,41.39,0.3,58.54,90.63,2.1,62.4,24.0,61.86,0.77,14.62,3.0900000000000003,0.0,0.0,0.72,3.99,5.29,2.1799999999999997,30.76,0.15,58.33,86.48,0.98,64.75,25.490000000000002,50.83,2.48,12.64,0.79,1.36,7.44,11.6,10.85,2.9299999999999997,1.71,35.019999999999996,0.42000000000000004,60.9,86.38,1.4000000000000001,62.0,21.61,48.11,1.54,7.37,0.37,2.05,4.93,13.6,2.5500000000000003
19,13.73,1.01,35.45,2.25,50.15,92.97,0.09,53.57,12.39,45.5,1.74,14.82,10.41,0.0,0.0,0.63,7.3500000000000005,3.21,1.51,40.46,4.03,56.01,79.72,2.14,60.68,24.73,60.53,1.21,11.05,1.11,0.12,0.43,1.84,3.53,3.43,1.59,35.67,0.18,58.61,85.51,0.7,62.26,24.4,49.94,2.56,11.9,1.08,0.8400000000000001,7.5600000000000005,13.95,4.08,5.39,1.32,35.47,1.02,60.96,86.2,1.23,59.5,22.09,44.48,0.93,10.63,0.83,2.6,5.42,15.04,10.22
